1,1,,タイトル1,テスト_シルバーライフ,log01.png,image01.png,アピールポイント1-01,アピールポイント2-01,アピールポイント3-01,アピールポイント4-01,補足1,
2,2,,タイトル2,テスト_ワタミの宅食,log02.png,image02.png,アピールポイント1-02,アピールポイント2-02,アピールポイント3-02,アピールポイント4-02,補足2,
3,3,,タイトル3,テスト_宅配クック123,log03.png,image03.png,アピールポイント1-03,アピールポイント2-03,アピールポイント3-03,アピールポイント4-03,補足3,
4,4,,タイトル4,テスト_ニコニコキッチン,log04.png,image04.png,アピールポイント1-04,アピールポイント2-04,アピールポイント3-04,アピールポイント4-04,補足4,
5,5,,タイトル5,テスト_ライフデリ池田店,log05.png,image05.png,アピールポイント1-05,アピールポイント2-05,アピールポイント3-05,アピールポイント4-05,補足5,
6,6,,タイトル6,テスト_ライフデリ市川店,log06.png,image06.png,アピールポイント1-06,アピールポイント2-06,アピールポイント3-06,アピールポイント4-06,補足6,
7,7,,タイトル7,テスト_ライフデリ和泉店,log07.png,image07.png,アピールポイント1-07,アピールポイント2-07,アピールポイント3-07,アピールポイント4-07,補足7,
8,8,,タイトル8,テスト_ニチレイフーズ,log08.png,image08.png,アピールポイント1-08,アピールポイント2-08,アピールポイント3-08,アピールポイント4-08,補足8,
9,9,,タイトル9,テスト_まごころケア食,log09.png,image09.png,アピールポイント1-09,アピールポイント2-09,アピールポイント3-09,アピールポイント4-09,補足9,
10,10,,タイトル10,テスト_EN大塚製薬あいーと,log10.png,image10.png,アピールポイント1-10,アピールポイント2-10,アピールポイント3-10,アピールポイント4-10,補足10,
11,11,,タイトル11,テスト_トオカツフーズ,log11.png,image11.png,アピールポイント1-11,アピールポイント2-11,アピールポイント3-11,アピールポイント4-11,補足11,
12,12,,タイトル12,テスト_ハーベストヨシケイ,log12.png,image12.png,アピールポイント1-12,アピールポイント2-12,アピールポイント3-12,アピールポイント4-12,補足12,
13,13,,タイトル13,テスト_阪神ケータリングサービス,log13.png,image13.png,アピールポイント1-13,アピールポイント2-13,アピールポイント3-13,アピールポイント4-13,補足13,
14,14,,タイトル14,テスト_糧配,log14.png,image14.png,アピールポイント1-14,アピールポイント2-14,アピールポイント3-14,アピールポイント4-14,補足14,
15,15,,タイトル15,テスト_ライフタイムバリュー,log15.png,image15.png,アピールポイント1-15,アピールポイント2-15,アピールポイント3-15,アピールポイント4-15,補足15,
16,,1,タイトル16,屋号16,log16.png,image16.png,アピールポイント1-16,アピールポイント2-16,アピールポイント3-16,アピールポイント4-16,補足16,
17,,2,タイトル17,屋号17,log17.png,image17.png,アピールポイント1-17,アピールポイント2-17,アピールポイント3-17,アピールポイント4-17,補足17,
18,,3,タイトル18,屋号18,log18.png,image18.png,アピールポイント1-18,アピールポイント2-18,アピールポイント3-18,アピールポイント4-18,補足18,
19,,4,タイトル19,屋号19,log19.png,image19.png,アピールポイント1-19,アピールポイント2-19,アピールポイント3-19,アピールポイント4-19,補足19,
20,,5,タイトル20,屋号20,log20.png,image20.png,アピールポイント1-20,アピールポイント2-20,アピールポイント3-20,アピールポイント4-20,補足20,
21,,6,タイトル21,屋号21,log21.png,image21.png,アピールポイント1-21,アピールポイント2-21,アピールポイント3-21,アピールポイント4-21,補足21,1
22,,7,,,,,,,,,,1
23,,8,,,,,,,,,,1
24,,9,,,,,,,,,,1
25,,10,,,,,,,,,,1
26,,11,,,,,,,,,,1
27,,12,タイトル27,屋号27,log27.png,image27.png,アピールポイント1-27,アピールポイント2-27,アピールポイント3-27,アピールポイント4-27,補足27,1
28,,13,タイトル28,屋号28,log28.png,image28.png,アピールポイント1-28,アピールポイント2-28,アピールポイント3-28,アピールポイント4-28,補足28,
29,,14,タイトル29,屋号29,log29.png,image29.png,アピールポイント1-29,アピールポイント2-29,アピールポイント3-29,アピールポイント4-29,補足29,
30,,15,,,,,,,,,,1
31,,16,,,,,,,,,,1
32,,17,,,,,,,,,,1
33,,18,,,,,,,,,,1
34,,19,,,,,,,,,,1
35,,20,,,,,,,,,,1
36,,21,,,,,,,,,,1
37,,22,,,,,,,,,,1
38,,23,,,,,,,,,,1
39,,24,,,,,,,,,,1
40,,25,,,,,,,,,,1
41,,26,,,,,,,,,,1
42,,27,,,,,,,,,,1
43,,28,タイトル43,屋号43,log43.png,image43.png,アピールポイント1-43,アピールポイント2-43,アピールポイント3-43,アピールポイント4-30,補足43,
